Film,Year,Rated,Released,Runtime,Metascore,imdbRating,imdbVotes,imdbID,BoxOffice,Right_Film,Genre,A,B,D,F,S
The Believer,2001,R,23 Aug 2001,98 min,75,7.2,"36,011",tt0247199,N/A,The Believer,Drama,7,0,1,36,15
The Best Exotic Marigold Hotel,2011,PG-13,25 May 2012,124 min,62,7.2,"88,429",tt1412386,"$46,377,022",The Best Exotic Marigold Hotel,Drama,0,0,0,2,0
The Big Blue,1988,PG,19 Aug 1988,168 min,35,7.6,"46,901",tt0095250,"$80,804",The Big Blue,Romance,4,3,9,2,5
The Big Lebowski,1998,R,06 Mar 1998,117 min,71,8.1,"705,424",tt0118715,N/A,The Big Lebowski,Mystery,9,4,10,220,39
The Big Sick,2017,R,14 Jul 2017,120 min,86,7.5,"116,020",tt5462602,"$42,824,653",The Big Sick,Romance,5,1,1,56,14
The Big White,2005,R,03 Dec 2005,100 min,31,6.4,"13,749",tt0402850,N/A,The Big White,Crime,3,2,2,21,7
The Birds,1963,PG-13,29 Mar 1963,119 min,90,7.7,"165,411",tt0056869,N/A,The Birds,Horror,0,0,4,0,0
The Black Dahlia,2006,R,15 Sep 2006,121 min,49,5.6,"70,353",tt0387877,"$22,518,325",The Black Dahlia,Mystery,1,4,14,42,16
The Blind Side,2009,PG-13,20 Nov 2009,129 min,53,7.6,"283,809",tt0878804,"$255,900,000",The Blind Side,Drama,11,5,2,0,0
The Bling Ring,2013,R,21 Jun 2013,90 min,66,5.6,"81,515",tt2132285,"$5,500,000",The Bling Ring,Crime,1,5,0,28,8
The Book of Eli,2010,R,15 Jan 2010,118 min,53,6.9,"286,574",tt1037705,"$94,800,000",The Book of Eli,Western,4,4,6,15,12
The Boondock Saints,1999,R,19 Nov 1999,108 min,44,7.8,"223,806",tt0144117,N/A,The Boondock Saints,Thriller,26,5,2,171,51
The Bounty Hunter,2010,PG-13,19 Mar 2010,110 min,22,5.6,"118,481",tt1038919,"$66,700,000",The Bounty Hunter,Romance,13,9,1,20,19
The Bourne Identity,2002,PG-13,14 Jun 2002,119 min,68,7.9,"496,096",tt0258463,"$121,500,000",The Bourne Identity,Mystery,1,1,0,28,21
The Bourne Supremacy,2004,PG-13,23 Jul 2004,108 min,73,7.7,"424,462",tt0372183,"$176,049,130",The Bourne Supremacy,Mystery,0,0,0,0,0
The Bourne Ultimatum,2007,PG-13,03 Aug 2007,115 min,85,8.0,"595,365",tt0440963,"$227,400,000",The Bourne Ultimatum,Mystery,0,0,2,1,5
The Box,2009,PG-13,06 Nov 2009,115 min,47,5.6,"87,598",tt0362478,"$114,882,598",The Box,Mystery,2,0,3,0,1
The Boxtrolls,2014,PG,26 Sep 2014,96 min,61,6.8,"53,196",tt0787474,"$52,098,992",The Boxtrolls,Animation,0,0,0,0,0
The Breakfast Club,1985,R,15 Feb 1985,97 min,66,7.9,"344,110",tt0088847,N/A,The Breakfast Club,Drama,8,8,5,26,24
The Brothers Bloom,2008,PG-13,19 Jun 2009,114 min,55,6.8,"48,178",tt0844286,"$3,479,844",The Brothers Bloom,Romance,3,5,5,19,12
The Butterfly Effect,2004,R,23 Jan 2004,113 min,30,7.6,"441,949",tt0289879,"$57,200,000",The Butterfly Effect,Fantasy,12,2,7,41,23
The Cell,2000,R,18 Aug 2000,107 min,40,6.3,"93,234",tt0209958,N/A,The Cell,Horror,2,3,6,8,3
The Change-Up,2011,R,05 Aug 2011,112 min,39,6.3,"161,706",tt1488555,"$37,000,000",The Change-Up,Comedy,6,5,0,130,35
The Cider House Rules,1999,PG-13,07 Jan 2000,126 min,75,7.4,"90,660",tt0124315,N/A,The Cider House Rules,Romance,2,0,5,0,2
The Cincinnati Kid,1965,TV-14,30 Oct 1965,102 min,67,7.3,"14,507",tt0059037,N/A,The Cincinnati Kid,Drama,1,3,6,0,0
The Cooler,2003,R,16 Jan 2004,101 min,69,6.9,"31,971",tt0318374,"$8,179,538",The Cooler,Romance,4,4,5,77,20
The Croods,2013,PG,22 Mar 2013,98 min,55,7.2,"185,548",tt0481499,"$187,165,546",The Croods,Animation,0,0,0,0,0
The Crow,1994,R,13 May 1994,102 min,71,7.6,"162,523",tt0109506,N/A,The Crow,Horror,14,4,7,28,20
The Crow Salvation,2000,R,14 Jun 2000,102 min,N/A,4.9,"10,584",tt0132910,N/A,The Crow Salvation,Horror,4,3,7,33,14
